session,task,gen_reward,det_reward,combined,curriculum_decision
1,easy,0.4323,0.5749,0.5036,stay
2,easy,0.3583,0.4477,0.403,stay
3,easy,0.3591,0.57,0.46454999999999996,stay
4,easy,0.2344,0.6199,0.42715000000000003,promote
5,medium,0.3673,0.5439,0.4556,stay
6,medium,0.436,0.5749,0.50545,stay
